ticker,ticker_prefix,cnpj,issuingCompany,tradingName
MLAS3,MLAS,59717553000102,MLAS,MULTILASER
FLRY3,FLRY,60840055000131,FLRY,FLEURY
SANB11,SANB,90400888000142,SANB,SANTANDER BR
MDNE3,MDNE,12049631000184,MDNE,MOURA DUBEUX
SLCE3,SLCE,89096457000155,SLCE,SLC AGRICOLA
EZTC3,EZTC,8312229000173,EZTC,EZTEC
DXCO3,DXCO,97837181000147,DXCO,DEXCO
AXIA7,AXIA,1180000126,AXIA,AXIA ENERGIA
SBFG3,SBFG,13217485000111,SBFG,GRUPO SBF
BRSR6,BRSR,92702067000196,BRSR,BANRISUL
AZEV3,AZEV,61351532000168,AZEV,AZEVEDO
EGIE3,EGIE,2474103000119,EGIE,ENGIE BRASIL
AUAU3,AUAU,53153938000108,AUAU,PETZCOBASI
AZZA3,AZZA,16590234000176,AZZA,AZZAS 2154
RIAA3,RIAA,8402943000152,RIAA,RIACHUELO
BRAP4,BRAP,3847461000192,BRAP,BRADESPAR
PSSA3,PSSA,2149205000169,PSSA,PORTO SEGURO
EVEN3,EVEN,43470988000165,EVEN,EVEN
TTEN3,TTEN,94813102000170,TTEN,3TENTOS
ARML3,ARML,242184000104,ARML,ARMAC
PMAM3,PMAM,60398369000479,PMAM,PARANAPANEMA
SHUL4,SHUL,84693183000168,SHUL,SCHULZ
INTB3,INTB,82901000000127,INTB,INTELBRAS
FESA4,FESA,15141799000103,FESA,FERBASA
DASA3,DASA,61486650000183,DASA,DASA
MYPK3,MYPK,61156113000175,MYPK,IOCHP-MAXION
SOJA3,SOJA,10807374000177,SOJA,BOA SAFRA
AXIA6,AXIA,1180000126,AXIA,AXIA ENERGIA
TUPY3,TUPY,84683374000300,TUPY,TUPY
BMOB3,BMOB,9042817000105,BMOB,BEMOBI TECH
FIQE3,FIQE,2255187000108,FIQE,UNIFIQUE
JALL3,JALL,2635522000195,JALL,JALLESMACHAD
SAPR4,SAPR,76484013000145,SAPR,SANEPAR
USIM3,USIM,60894730000105,USIM,USIMINAS
LAVV3,LAVV,26462693000128,LAVV,LAVVI
VULC3,VULC,50926955000142,VULC,VULCABRAS
CAML3,CAML,64904295000103,CAML,CAMIL
MILS3,MILS,27093558000115,MILS,MILLS
SAPR11,SAPR,76484013000145,SAPR,SANEPAR
AZEV4,AZEV,61351532000168,AZEV,AZEVEDO
KEPL3,KEPL,91983056000169,KEPL,KEPLER WEBER
RANI3,RANI,92791243000103,RANI,IRANI
VTRU3,VTRU,20512706000140,VTRU,VITRUEDUCA
BMGB4,BMGB,61186680000174,BMGB,BANCO BMG
POSI3,POSI,81243735000148,POSI,POSITIVO TEC
SEER3,SEER,4986320000113,SEER,SER EDUCA
MTRE3,MTRE,7882930000165,MTRE,MITRE REALTY
PINE4,PINE,62144175000120,PINE,PINE
PNVL3,PNVL,92665611000177,PNVL,DIMED
TFCO4,TFCO,59418806000147,TFCO,TRACK FIELD
SEQL3,SEQL,1599101000193,SEQL,SEQUOIA LOG
ESPA3,ESPA,26659061000159,ESPA,ESPACOLASER
ENJU3,ENJU,16922038000151,ENJU,ENJOEI
GFSA3,GFSA,1545826000107,GFSA,GAFISA
PRNR3,PRNR,18593815000197,PRNR,PRINER
CASH3,CASH,14110585000107,CASH,MELIUZ
HBOR3,HBOR,49263189000102,HBOR,HELBOR
OIBR3,OIBR,76535764000143,OIBR,OI
JSLG3,JSLG,52548435000179,JSLG,JSL
OBTC3,OBTC,59693110000129,OBTC,ORANJEBTC
TRIS3,TRIS,8811643000127,TRIS,TRISUL
ALPK3,ALPK,60537263000166,ALPK,ESTAPAR
PTBL3,PTBL,83475913000191,PTBL,PORTOBELLO
ABCB4,ABCB,28195667000106,ABCB,ABC BRASIL
WIZC3,WIZC,42278473000103,WIZC,WIZ CO
POMO3,POMO,88611835000129,POMO,MARCOPOLO
ORVR3,ORVR,11421994000136,ORVR,ORIZON
VLID3,VLID,33113309000147,VLID,VALID
CYRE4,CYRE,73178600000118,CYRE,CYRELA REALT
AZUL3,AZUL,9305994000129,AZUL,AZUL
MELK3,MELK,12181987000177,MELK,MELNICK
SYNE3,SYNE,8801621000186,SYNE,SYN PROP TEC
MATD3,MATD,16676520000159,MATD,MATER DEI
BLAU3,BLAU,58430828000160,BLAU,BLAU
LOGG3,LOGG,9041168000110,LOGG,LOG COM PROP
ALLD3,ALLD,20247322000147,ALLD,ALLIED
MDIA3,MDIA,7206816000115,MDIA,M.DIASBRANCO
DESK3,DESK,8170849000115,DESK,DESKTOP
IRBR3,IRBR,33376989000191,IRBR,IRBBRASIL RE
BRST3,BRST,4601397000128,BRST,BRISANET
CSED3,CSED,62984091000102,CSED,CRUZEIRO EDU
BRBI11,BRBI,10739356000103,BRBI,BR PARTNERS
LEVE3,LEVE,60476884000187,LEVE,METAL LEVE
DEXP3,DEXP,2193750000152,DEXP,DEXXOS PAR
PFRM3,PFRM,45453214000151,PFRM,PROFARMA
MEAL3,MEAL,17314329000120,MEAL,IMC S/A
